 author_date_unix_timestamp numeric,commit_type numeric,--,bug,-,ns,nd,nf,entrophy ,la,ld,lt,fix,ndev ,age,nuc,exp,rexp,sexp
1346172110,"0
",--,0,-,1,1,1,0,142,0,0,0,0,0,0,0,0,0
1346172198,"0
",--,0,-,1,1,1,0,11,0,0,0,0,0,0,1,1,0
 1346172291,"2
",--,1,-,3,3,14,2.759855392,519,0,0,0,0,0,0,0,0,0
1346172301,"0
",--,0,-,1,1,1,0,21,6,123,0,1,0.000115741,1,1,1,0
1346172306,"0
",--,0,-,1,1,1,0,31,24,138,0,1,5.78704E-05,1,2,2,1
1346172316,"0
",--,0,-,1,1,1,0,6,6,145,0,1,0.000115741,1,4,4,2
 1346172320,"2
",--,1,-,1,1,1,0,44,21,145,0,1,4.62963E-05,1,5,5,3
 1346172324,"2
",--,1,-,1,1,1,0,9,3,168,0,1,4.62963E-05,1,6,6,4
1346172332,"0
",--,0,-,1,1,1,0,4,10,159,0,1,0.000474537,1,8,8,0
 1346172335,"1
",--,1,-,1,1,1,0,10,0,0,0,0,0,0,9,9,0
1346180222,"0
",--,0,-,1,1,1,0,2,0,0,0,0,0,0,0,0,0
 1346180239,"2
",--,1,-,1,2,6,1.290891342,8715,0,0,0,0,0,0,2,1,0
1346180780,"0
",--,0,-,1,1,1,0,14,0,9,0,1,0.098252315,1,1,1,0
1346180795,"0
",--,0,-,1,1,1,0,2,0,23,0,2,0.000173611,1,3,3,1
 1346182062,"2
",--,1,-,3,4,5,1.65707913,52,13,99.4,0,1,0.112865741,4,10,10,2.666666667
 1346182292,"2
",--,1,-,1,1,1,0,4,0,23,0,1,1.15741E-05,1,4,4,0
1346183806,"0
",--,0,-,1,1,4,1.673992109,47,6,15.25,0,2,0.108668981,2,5,5,2
1346184250,"0
",--,0,-,1,1,1,0,4,0,192,0,2,1.15741E-05,1,6,6,3
1346184525,"0
",--,0,-,2,2,2,0.989587521,12,13,24.5,0,2,0.00416088,1,7,7,2.5
1346185767,"0
",--,0,-,3,3,3,1.071215457,44,14,108.3333333,0,1,0.080578704,2,11,11,3.666666667
1346187143,"0
",--,0,-,1,1,2,0.918295834,3,3,116.5,0,3,0.031892361,2,8,8,5
 1346187381,"2
",--,1,-,2,4,6,1.592513293,438,42,78.66666667,0,3,0.009822531,4,6,2,1.5
1346187392,"0
",--,0,-,1,1,1,0,15,0,0,0,0,0,0,13,13,4
1346187465,"0
",--,0,-,1,1,1,0,2,2,53,0,1,0.062534722,1,14,14,5
1346189525,"0
",--,0,-,2,2,2,1,4,4,166,0,1,0.029890046,2,2,2,0
1346189858,"0
",--,0,-,1,1,1,0,10,8,190,0,2,0.003854167,1,3,3,1
1346190064,"0
",--,0,-,1,1,1,0,1,0,142,0,2,0.006238426,1,16,16,7
1346193390,"0
",--,0,-,2,2,5,2.255888241,82,41,58.2,0,3,0.0938125,3,9,9,4
1346194510,"0
",--,0,-,1,1,1,0,26,0,6,0,2,0.123888889,1,10,10,7
1346195157,"0
",--,0,-,2,2,2,0.273769169,49,36,118,0,3,0.020451389,1,11,11,5.5
1346253141,"0
",--,0,-,2,2,2,0.999927381,149,150,113.5,0,3,0.335555556,1,5,5,2
 1346255115,"1
",--,1,-,2,2,4,1.835237745,14,0,24,0,2,0.535807292,1,12,12,6.5
1346255275,"0
",--,0,-,1,1,1,0,3,1,28,0,2,0.001851852,1,13,13,10
1346255444,"0
",--,0,-,1,1,2,0.281193796,34,7,34.5,0,1,0.7834375,2,19,19,10
1346255811,"0
",--,0,-,1,1,1,0,18,18,78,0,3,0.030902778,1,14,14,11
